stop_id,stop_name,stop_desc,stop_lat,stop_lon
119,Tiyan Gate bus shelter (across H&R),Barrigada. Multiple lines depart from this stop. This stop can be used to connect lines. This is a terminal. All lines depart from here.,13.471956510972152, 144.79598448062194
120,Traffic Light (Pia Marine),Tumon,13.51018573005084, 144.81053797208193
121,Tumon 7 Mart,Tumon,13.504464647823383, 144.80654408741154
121,UOG Calvo Fieldhouse,Mangilao,13.433512406874925, 144.80467750213992
122,UOG English Bldg parking lot,Mangilao,13.432374724641004, 144.80145544279185
123,Veterans Affairs Office,Asan,13.473765225552167, 144.71958955857536
124,WIC Office, Tiyan,Barrigada,13.476822154861352, 144.80145155248482
125,Windward Hills Apartments,Windward Hills,13.374344041337945, 144.73880606466437
126,Yigo Mayor's Office,Yigo. Multiple lines depart from this stop. This stop can be used to connect lines.,13.535888926744093, 144.89377321254685
127,Yona Church,Yona. Multiple lines depart from this stop. This stop can be used to connect lines.,13.409610868319255, 144.77707292418722
128,Yona Mobil,Yona. Multiple lines depart from this stop. This stop can be used to connect lines.,13.412704657543369, 144.7797648106946
129,Ypaopao Estates (Marine Corps Drive),Dededo,13.51478966221902, 144.84432671249704




